Wed Sep 18 14:53:38 2013    larvalMultitrack.profile

         304003 function calls in 58.945 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {wx._windows_.Frame_SetMenuBar}
       36    0.001    0.000    0.019    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:237(update_processRate)
     1844    0.001    0.000    0.001    0.000 {method 'iteritems' of 'dict' objects}
      184    0.000    0.000    0.000    0.000 {method 'normal' of 'mtrand.RandomState' objects}
        1    0.000    0.000    2.806    2.806 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:260(OnOpen)
        1    0.000    0.000    0.006    0.006 {wx._core_.PyApp__BootstrapApp}
       20    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
      970    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4372(<lambda>)
        2    0.000    0.000    0.000    0.000 {wx._controls_.TextCtrl_WriteText}
       19    0.000    0.000    0.001    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:164(__init__)
       81    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        1    0.000    0.000    0.045    0.045 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:12(__init__)
       37    0.000    0.000    0.000    0.000 {wx._core_.Sizer_Add}
       33    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3884(_setOORInfo)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_Panel}
       36    0.000    0.000    0.018    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8497(SetLabel)
       19    0.000    0.000    0.000    0.000 {method 'rand' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.006    0.006 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7900(__init__)
        3    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetCursor}
       33    0.000    0.000    0.000    0.000 {wx._core_.EvtHandler__setOORInfo}
       81    0.000    0.000    0.000    0.000 C:\Python27\lib\encodings\cp1252.py:14(decode)
        7    0.000    0.000    0.001    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:383(BtnFncn)
        1    0.000    0.000    0.005    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6369(_initStockObjects)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_FileDialog}
       19    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetPen}
       19    0.000    0.000    0.000    0.000 {wx._misc_.Timer_Stop}
        4    0.000    0.000    0.000    0.000 {wx._core_.Menu_Append}
       40    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       22    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3890(Bind)
        5    0.000    0.000    0.004    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:403(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Refresh}
       19    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1317(Stop)
        1    0.000    0.000   58.945   58.945 larvalMultitrack_main.py:1(<module>)
        5    0.000    0.000    0.006    0.001 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:392(makeGl_Slider)
        5    0.000    0.000    0.000    0.000 {wx._controls_.Slider_SetTickFreq}
       24    0.000    0.000    0.000    0.000 {wx._core_.EvtHandler_Connect}
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3992(Bind)
        7    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:337(__init__)
       19    0.000    0.000    0.000    0.000 {cv2.cv.RGB}
        2    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_SetValue}
        1    0.000    0.000    0.003    0.003 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:242(OnExit)
        7    0.000    0.000    0.001    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:381(<lambda>)
        6    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1130(__init__)
        5    0.000    0.000    0.004    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:2652(__init__)
        8    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1313(Start)
        7    0.000    0.000    0.000    0.000 {wx._core_.Event_Skip}
        4    0.000    0.000    0.002    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:73(__init__)
        1    0.000    0.000    0.011    0.011 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:331(EvtCheckBox)
       11    0.000    0.000    0.000    0.000 {wx._core_.new_BoxSizer}
       19    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:2387(round_)
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13273(__init__)
       37    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12690(Add)
        2    0.000    0.000    0.001    0.000 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:366(__init__)
        2    0.000    0.000    0.009    0.005 C:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:342(make_trckCB)
        1    0.000    0.000    0.000    0.000 {wx._misc_.SystemOptions_SetOptionInt}
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4444(Skip)
