Tue Aug 27 17:31:03 2013    larvalMultitrack.profile

         1487386 function calls (1487370 primitive calls) in 108.905 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6252    0.020    0.000    0.020    0.000 {method 'set' of 'cv2.VideoCapture' objects}
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3873(Connect)
        9    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:524(write_header)
       18    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {wx._windows_.FileDialog_GetDirectory}
        4    0.000    0.000    0.000    0.000 {wx._controls_.Button_swiginit}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2510(GetFilename)
        4    0.000    0.000    0.000    0.000 {wx._core_.Menu_Append}
      192    0.001    0.000    0.136    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8497(SetLabel)
    29990    0.101    0.000    0.145    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:32(_count_reduce_items)
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12685(<lambda>)
       37    0.000    0.000    0.000    0.000 {wx._core_.Sizer_Add}
        8    0.000    0.000    0.002    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lMulti_IO.py:11(write)
      395    0.011    0.000    0.018    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:164(__init__)
        6    0.000    0.000    0.003    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1130(__init__)
        1    0.272    0.272    0.272    0.272 {method 'close' of 'file' objects}
        2    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      435    0.014    0.000    0.014    0.000 {numpy.core.multiarray.zeros}
     6242    0.076    0.000    0.551    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:1847(amax)
        1    0.000    0.000  108.845  108.845 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8008(MainLoop)
        7    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1317(Stop)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Refresh}
     6252   22.531    0.004   22.531    0.004 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitThePenList}
