Wed Sep 18 14:34:32 2013    larvalMultitrack.profile

         285685 function calls in 25.466 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {wx._windows_.Frame_SetMenuBar}
       22    0.001    0.000    0.001    0.000 {numpy.core.multiarray.zeros}
      180    0.000    0.000    0.000    0.000 {method 'normal' of 'mtrand.RandomState' objects}
     1800    0.000    0.000    0.000    0.000 {method 'iteritems' of 'dict' objects}
       27    0.000    0.000    0.014    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:237(update_processRate)
       21    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:164(__init__)
        1    0.000    0.000    1.405    1.405 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:260(OnOpen)
      932    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:4372(<lambda>)
        1    0.000    0.000    0.006    0.006 {wx._core_.PyApp__BootstrapApp}
        2    0.000    0.000    0.000    0.000 {wx._controls_.TextCtrl_WriteText}
       72    0.000    0.000    0.000    0.000 {_codecs.charmap_decode}
        1    0.000    0.000    0.049    0.049 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:12(__init__)
       37    0.000    0.000    0.000    0.000 {wx._core_.Sizer_Add}
       33    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3884(_setOORInfo)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_Panel}
       21    0.000    0.000    0.000    0.000 {method 'rand' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.006    0.006 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7900(__init__)
        3    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetCursor}
       33    0.000    0.000    0.000    0.000 {wx._core_.EvtHandler__setOORInfo}
       27    0.000    0.000    0.013    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8497(SetLabel)
        1    0.000    0.000    0.005    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6369(_initStockObjects)
       21    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.000    0.000 C:\Python27\lib\encodings\cp1252.py:14(decode)
        1    0.000    0.000    0.000    0.000 {wx._windows_.new_FileDialog}
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetPen}
       44    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {wx._core_.Menu_Append}
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Refresh}
       22    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3890(Bind)
        5    0.000    0.000    0.007    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:392(makeGl_Slider)
        5    0.000    0.000    0.005    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:403(__init__)
       24    0.000    0.000    0.000    0.000 {wx._core_.EvtHandler_Connect}
        5    0.000    0.000    0.000    0.000 {wx._controls_.Slider_SetTickFreq}
        1    0.000    0.000   25.466   25.466 larvalMultitrack_main.py:1(<module>)
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3992(Bind)
       21    0.000    0.000    0.000    0.000 {cv2.cv.RGB}
        7    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:337(__init__)
        1    0.000    0.000    0.003    0.003 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:242(OnExit)
        2    0.000    0.000    0.000    0.000 {wx._controls_.CheckBox_SetValue}
        1    0.000    0.000    0.000    0.000 {wx._misc_.SystemOptions_SetOptionInt}
        1    0.000    0.000    0.001    0.001 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:383(BtnFncn)
        5    0.000    0.000    0.005    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:2652(__init__)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Destroy}
       21    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:2387(round_)
        6    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1130(__init__)
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:13273(__init__)
        1    0.000    0.000    0.017    0.017 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:331(EvtCheckBox)
       37    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12690(Add)
        5    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1317(Stop)
        4    0.000    0.000    0.002    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:73(__init__)
        2    0.000    0.000    0.011    0.006 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:342(make_trckCB)
        2    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:366(__init__)
        5    0.000    0.000    0.000    0.000 {wx._misc_.Timer_Stop}
        4    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:327(__init__)
       11    0.000    0.000    0.000    0.000 {wx._core_.new_BoxSizer}
        3    0.000    0.000    0.001    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:379(__init__)
        2    0.000    0.000    0.000    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:439(SetImg_Globals)
        1    0.000    0.000    0.000    0.000 {wx._core_.Window_Close}
        2    0.000    0.000    0.011    0.005 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\wxGUI_Classes.py:353(__init__)
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3873(Connect)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:2420(__init__)
        1    0.000    0.000   25.411   25.411 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8008(MainLoop)
        2    0.000    0.000    0.011    0.005 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:581(__init__)
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetBrush}
       11    0.000    0.000    0.000    0.000 {wx._core_.Sizer__setOORInfo}
        1    0.000    0.000    0.000    0.000 {wx._core_.new_PyApp}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8464(Destroy)
        1    0.000    0.000    0.000    0.000 {wx._core_.new_MenuBar}
