Tue Aug 27 17:26:03 2013    2to1larvalMultitrack.profile

         6242457 function calls (6242409 primitive calls) in 576.965 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18756    0.081    0.000    0.081    0.000 {method 'set' of 'cv2.VideoCapture' objects}
       16    0.000    0.000    0.000    0.000 {wx._core_.Event_GetEventObject}
       16    0.000    0.000    0.000    0.000 {setattr}
       24    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:3873(Connect)
       27    0.001    0.000    0.003    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:524(write_header)
       54    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {wx._controls_.Button_swiginit}
        2    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1294(__init__)
        4    0.000    0.000    0.000    0.000 {wx._core_.Menu_Append}
      932    0.003    0.000    0.632    0.001 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8497(SetLabel)
   121856    0.413    0.000    0.594    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\_methods.py:32(_count_reduce_items)
       11    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:12685(<lambda>)
       37    0.000    0.000    0.000    0.000 {wx._core_.Sizer_Add}
      655    0.019    0.000    0.032    0.000 c:\Users\Cornell\Dropbox\Python\larvalMultitrack\lm_functions.py:164(__init__)
        6    0.000    0.000    0.003    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1130(__init__)
        6    0.006    0.001    0.006    0.001 {method 'clear' of 'dict' objects}
      773    0.022    0.000    0.022    0.000 {numpy.core.multiarray.zeros}
    18740    0.249    0.000    1.394    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\fromnumeric.py:1847(amax)
        1    0.000    0.000  576.892  576.892 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:8008(MainLoop)
       19    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_misc.py:1317(Stop)
        2    0.000    0.000    0.000    0.000 {wx._core_.Window_Refresh}
    18755  358.940    0.019  358.940    0.019 {method 'read' of 'cv2.VideoCapture' objects}
        1    0.000    0.000    0.000    0.000 {wx._gdi_._wxPyInitThePenList}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:7171(__init__)
   153455    0.206    0.000    0.206    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_windows.py:62(__init__)
       27    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\numpy-1.7.1-py2.7-win32.egg\numpy\core\numeric.py:252(asarray)
       10    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6345(GetBrush)
        2   17.828    8.914   17.828    8.914 {wx._windows_.Dialog_ShowModal}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6340(instance)
       28    0.000    0.000    0.011    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_controls.py:1844(WriteText)
        9    0.000    0.000    0.000    0.000 {method 'rfind' of 'unicode' objects}
       27    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:567(update_matrix_tag)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:10536(SetAutoLayout)
        3    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_gdi.py:6355(GetCursor)
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11056(Append)
        3    0.000    0.000    1.193    0.398 C:\Python27\lib\site-packages\scipy\io\matlab\mio5.py:804(put_variables)
       10    0.000    0.000    0.000    0.000 {wx._gdi_.StockGDI_GetPen}
        4    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11492(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:11051(__init__)
        3    0.000    0.000    0.001    0.000 C:\Python27\lib\site-packages\wx-2.8-msw-unicode\wx\_core.py:9165(Disable)
